first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Hamed,Traorè,0,0,14,425,8,218.5,84.0,36.0,0,60,33.8,2,0,0,0.0,45,MF
Ben,Greenwood,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DF
Max,Kinsey-Wellings,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DF
Pontus,Jansson,1,0,29,722,14,2.5,176.2,53.0,0,147,23.4,2,0,0,0.3,42,DF
Christian,Nørgaard,1,6,71,1763,23,173.7,379.2,269.0,6,309,82.3,6,0,6,0.2,53,MF
Ivan,Toney,20,4,182,2953,42,424.3,926.8,1240.0,35,607,258.7,10,0,9,18.2,71,FW
David,Raya Martin,0,0,166,3420,46,20.1,1125.4,4.0,20,822,115.2,12,0,1,14.4,48,GK
Sergi,Canós Tenés,0,0,5,73,2,13.5,7.0,6.0,0,14,2.8,0,0,0,0.1,50,DF
Josh,Dasilva,4,2,81,1371,17,206.1,304.2,182.0,3,274,69.2,5,0,1,3.8,41,MF
Kristoffer,Ajer,0,0,29,763,14,24.7,96.8,27.0,0,129,15.1,4,0,0,0.1,45,DF
Rico,Henry,0,3,112,3240,46,401.9,444.4,197.0,4,505,104.5,11,0,4,2.6,44,DF
Vitaly,Janelt,3,1,85,2201,28,246.1,411.2,223.0,5,357,88.1,8,0,3,0.1,55,MF
Saman,Ghoddos,0,0,15,124,5,62.8,27.2,21.0,0,53,11.1,0,0,0,0.0,48,MF
Mathias,Jensen,5,7,132,2805,40,787.9,644.0,208.0,11,498,164.1,10,0,5,1.8,48,MF
Yoane,Wissa,7,4,111,1587,17,184.5,363.8,414.0,6,292,95.5,7,0,3,0.3,53,MF
Mads,Roerslev Rasmussen,0,0,48,1101,12,120.6,167.6,46.0,0,201,33.4,5,0,0,0.1,43,DF
Mads,Bech Sørensen,0,0,4,18,0,0.2,2.6,0.0,0,12,0.2,0,0,0,0.0,45,DF
Ethan,Pinnock,3,0,112,2700,34,104.9,751.6,279.0,6,575,113.8,10,0,0,0.9,44,DF
Frank,Onyeka,0,3,38,837,11,89.9,125.8,106.0,0,111,32.3,3,0,0,0.0,48,MF
Shandon,Baptiste,0,2,29,600,6,144.5,107.8,54.0,0,123,30.7,1,1,1,0.2,45,MF
Bryan,Mbeumo,9,9,150,2905,39,766.3,662.4,866.0,19,556,229.3,10,0,5,4.0,57,FW
Charlie,Goode,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,39,DF
Marcus,Forss,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FW
Dominic,Thompson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DF
Mads,Bidstrup,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MF
Ellery,Balcombe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Aaron,Hickey,0,3,63,1918,30,119.8,223.6,98.0,2,310,44.2,5,0,7,0.3,49,DF
Keane,Lewis-Potter,0,1,14,313,4,64.0,42.0,114.0,0,37,21.9,0,0,0,0.0,52,MF
Thomas,Strakosha,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,GK
Ben,Mee,3,2,143,3269,40,92.0,761.4,307.0,11,643,116.3,12,0,2,14.4,48,DF
Fin,Stevens,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DF
Halil,Dervişoğlu,0,1,4,6,0,0.0,0.0,10.0,0,11,1.0,0,0,0,0.5,45,FW
Mikkel,Damsgaard,0,0,33,970,14,161.0,137.4,146.0,0,131,44.5,3,0,4,0.1,50,MF
Mathias,Jorgensen,0,1,45,1097,15,18.2,189.8,45.0,4,191,25.6,4,0,2,0.9,39,DF
