Josh Brooking,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,Brooking
Rob Holding,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,43,-2,0.1,Holding
Joachim Andersen,1170,2,1,5,18,0,0,0,2,0,0,13,0.90,0.69,1.59,18.53,61,52,7,23.9,Andersen
Nathaniel Clyne,130,0,0,1,0,0,0,0,0,0,0,1,0.03,0.01,0.04,1.95,8,44,-1,0.1,Clyne
Marc Guéhi,1080,0,0,5,15,0,0,0,1,0,0,12,0.58,0.20,0.78,15.32,43,47,2,5.5,Guéhi
Tyrick Mitchell,1149,1,1,5,18,0,0,0,2,0,0,13,0.42,0.88,1.30,18.28,51,47,2,7.7,Mitchell
Jake O'Brien,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.1,O'Brien
Chris Richards,111,0,0,0,3,0,0,0,0,0,0,1,0.00,0.00,0.00,3.98,4,39,-1,0.6,C.Richards
James Tomkins,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,40,0,0.5,Tomkins
Joel Ward,1051,0,1,4,18,1,0,0,3,0,0,12,0.69,0.17,0.86,16.83,31,45,0,0.3,Ward
Jarrad Branthwaite,1080,0,0,3,15,0,0,0,4,0,0,12,0.24,0.46,0.70,14.63,32,41,1,2.4,Branthwaite
Seamus Coleman,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,44,-1,0.0,Coleman
Ben Godfrey,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.37,1,43,-2,0.1,Godfrey
Mason Holgate,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.5,Holgate
Michael Keane,226,0,0,0,7,0,0,0,1,0,0,2,0.04,0.05,0.09,6.60,2,43,-2,0.2,Keane
Vitalii Mykolenko,897,2,1,3,11,0,0,0,1,0,0,10,1.11,0.37,1.48,11.63,49,44,-1,4.0,Mykolenko
Nathan Patterson,541,0,1,1,11,0,0,0,1,0,0,5,0.34,0.69,1.03,10.79,21,44,-1,0.2,Patterson
James Tarkowski,1260,1,1,3,20,0,0,0,2,0,0,14,1.01,1.03,2.04,18.87,46,44,-1,3.1,Tarkowski
Ashley Young,1079,0,0,2,19,1,0,0,4,1,0,13,0.21,0.87,1.08,19.33,17,44,-1,0.3,Young
Issa Diop,700,0,0,3,13,0,0,0,2,0,0,8,0.15,0.28,0.43,15.90,23,44,-1,0.5,Diop
Terence Kongolo,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.1,Kongolo
Kevin Mbabu,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.2,Mbabu
Tim Ream,1053,1,0,3,20,0,0,0,2,1,0,12,0.96,0.14,1.10,23.34,34,45,0,1.5,Ream
Antonee Robinson,1080,0,2,2,22,2,0,0,4,0,0,12,0.09,1.40,1.49,22.65,24,44,-1,0.6,Robinson
Kenny Tete,427,0,0,2,8,0,0,0,2,0,0,5,0.19,0.22,0.41,11.87,12,44,-1,0.3,Tete
Tosin Adarabioyo,2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.69,2,43,-2,0.0,Tosin
Calvin Bassey,575,0,0,0,12,0,0,0,0,1,0,6,0.05,0.02,0.07,14.10,8,44,-1,0.2,Bassey
